Content-ID,Title,Primary-Platform,Distribution-Date,Secondary-Platforms,Platform-1,Platform-1-Date,Platform-1-Format,Platform-1-Status,Platform-2,Platform-2-Date,Platform-2-Format,Platform-2-Status,Platform-3,Platform-3-Date,Platform-3-Format,Platform-3-Status,Promotional-Activities,UTM-Campaign,Notes
CCF-001,,,,,,,,,,,,,,,,,,,
CCF-002,,,,,,,,,,,,,,,,,,,
CCF-003,,,,,,,,,,,,,,,,,,,
CCF-004,,,,,,,,,,,,,,,,,,,
CCF-005,,,,,,,,,,,,,,,,,,,
